,roles
818,"Sawing Machine Setters, Operators, and Tenders, Wood"
819,School Psychologists
820,Search Marketing Strategists
821,"Secondary School Teachers, Except Special and Career/Technical Education"
822,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
823,Securities and Commodities Traders
824,Security Guards
825,Security Management Specialists
826,Security Managers
827,Security and Fire Alarm Systems Installers
828,Segmental Pavers
829,Self-Enrichment Education Teachers
830,Semiconductor Processors
831,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
832,Septic Tank Servicers and Sewer Pipe Cleaners
833,"Service Unit Operators, Oil, Gas, and Mining"
834,Set and Exhibit Designers
835,"Sewers, Hand"
836,Sewing Machine Operators
837,Shampooers
838,Sheet Metal Workers
839,Sheriffs and Deputy Sheriffs
840,Ship Engineers
841,Ship and Boat Captains
842,"Shipping, Receiving, and Traffic Clerks"
